Seq	JH1T	JH1O	JH1S	JH3T	JH3O	JH3S	JH4T	JH4O	JH4S	JH5T	JH5O	JH5S	JH6T	JH6O	JH6S	JH7T	JH7O	JH7S
Seq28535	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	2
Seq28536	0	1	4	0	0	0	0	0	1	0	2	0	0	1	0	1	2	2
Seq28537	0	0	0	0	0	0	0	5	0	0	9	4	0	1	0	0	2	1
Seq28538	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0	0	6	15
Seq28539	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
Seq28540	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0
Seq28541	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0
Seq28542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Seq28543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Seq28544	0	0	0	0	0	0	0	0	0	0	8	0	0	2	3	1	7	0
Seq28545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Seq28546	3	0	1	26	5	2	0	0	0	2	29	1	3	257	2	7	13	13
Seq28547	0	1	0	3	0	0	0	0	0	0	0	0	0	156	0	0	0	0
Seq28548	0	0	2	19	4	0	0	1	3	2	19	4	7	81	2	8	21	3
Seq28549	0	0	1	9	0	0	0	0	0	2	3	0	8	32	9	2	6	4
Seq28550	0	0	0	6	0	0	0	0	0	3	5	36	0	9	2	4	6	27
Seq28551	0	0	0	16	2	0	0	0	0	0	80	1	9	112	1	3	13	7
Seq28552	0	0	0	0	0	0	0	1	0	0	0	1	2	19	5	0	6	4
Seq28553	0	0	0	0	1	0	0	2	0	1	2	8	19	162	71	8	31	8
Seq28554	0	0	0	0	3	0	0	7	0	12	56	2	1	42	39	15	255	10
Seq28555	1	0	0	0	0	0	0	0	0	0	0	0	16	10	7	0	1	4
Seq28556	0	0	0	18	1	0	1	9	3	5	4	19	16	84	30	34	67	87
Seq28557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0
Seq28558	4	0	1	1	5	0	0	5	2	2	2	2	9	16	2	3	4	17
Seq28559	0	0	0	0	0	0	0	0	0	0	0	0	0	22	9	0	4	0
Seq28560	0	0	0	0	1	0	0	8	0	10	2	0	4	9	0	0	2	3
Seq28561	0	0	0	0	0	0	0	4	0	3	0	0	0	2	0	0	0	0
Seq28562	0	0	0	0	1	0	0	0	1	4	1	1	2	5	74	2	7	6
Seq28563	0	0	0	0	0	0	0	0	1	2	13	6	3	2	11	0	5	1
